order_id,order_date,order_placed_time,day_of_week,city,vendor_id,vendor_name,order_type,driver_id,distance_km,weather_condition,is_peak_hour,order_value_inr,delivery_time_min,is_delayed,is_cancelled,customer_rating
ORD00022,3/27/2026,12:25:00,Friday,Delhi,V005,Green Leaf Cafe,Food Delivery,DRV058,8.08,Clear,1,761.33,56.9,1,0,3
ORD00023,6/19/2026,22:51:00,Friday,Bengaluru,V008,Pizza Junction,Food Delivery,DRV043,5.56,Clear,0,1325.07,41,0,0,5
ORD00024,3/11/2026,17:20:00,Wednesday,Bengaluru,V008,Pizza Junction,Food Delivery,DRV025,1.59,Clear,0,1148.46,17,0,0,5
ORD00025,4/13/2026,16:43:00,Monday,Hyderabad,V009,Sushi Central,Grocery,DRV055,1.97,Rain,0,1081.11,23.8,0,0,5
ORD00026,1/18/2026,10:56:00,Sunday,Hyderabad,V011,Roti Roll Co.,Food Delivery,DRV016,2.65,Clear,0,694.01,24.1,0,0,4
ORD00027,2/8/2026,22:46:00,Sunday,Hyderabad,V011,Roti Roll Co.,Food Delivery,DRV009,3.47,Rain,0,1171.98,29.6,0,0,3
ORD00028,2/11/2026,16:50:00,Wednesday,Delhi,V005,Green Leaf Cafe,Food Delivery,DRV019,2.05,Clear,0,1114.75,24.9,0,0,4
ORD00029,2/15/2026,15:33:00,Sunday,Chennai,V003,Bowl & Broth,Food Delivery,DRV057,2.32,Rain,0,599.83,25.8,0,0,5
ORD00030,3/20/2026,19:57:00,Friday,Delhi,V006,Tandoori Nights,Food Delivery,DRV019,0.41,Rain,1,1360.71,19.2,0,0,4
ORD00031,5/6/2026,14:43:00,Wednesday,Delhi,V005,Green Leaf Cafe,Food Delivery,DRV058,4.91,Heavy Traffic Event,0,360.8,42.4,0,0,3
ORD00032,2/17/2026,14:15:00,Tuesday,Chennai,V002,Urban Tadka,Grocery,DRV013,1.78,Clear,0,1285.99,18.9,0,0,5
ORD00033,4/10/2026,12:24:00,Friday,Chennai,V002,Urban Tadka,Food Delivery,DRV033,7.91,Clear,1,719.93,57.1,1,0,5
ORD00034,6/5/2026,20:58:00,Friday,Mumbai,V007,Wok This Way,Food Delivery,DRV014,2.62,Heavy Traffic Event,1,382.46,40.6,0,0,3
ORD00035,4/22/2026,14:06:00,Wednesday,Bengaluru,V008,Pizza Junction,Grocery,DRV005,1.53,Clear,0,233.16,21.8,0,0,5
ORD00036,5/16/2026,16:41:00,Saturday,Mumbai,V007,Wok This Way,Grocery,DRV027,1.87,Clear,0,236.48,22.6,0,0,3
ORD00037,4/5/2026,17:46:00,Sunday,Mumbai,V007,Wok This Way,Food Delivery,DRV043,8.45,Rain,0,427.39,65.4,1,0,2
ORD00038,4/16/2026,15:41:00,Thursday,Mumbai,V007,Wok This Way,Grocery,DRV058,3.84,Rain,0,406.53,43.7,0,0,2
ORD00039,1/22/2026,15:12:00,Thursday,Delhi,V006,Tandoori Nights,Food Delivery,DRV047,0.83,Clear,0,774.92,19.8,0,0,4
ORD00040,2/19/2026,20:44:00,Thursday,Chennai,V001,Spice Route Kitchen,Food Delivery,DRV024,1.72,Clear,1,1042.26,25.3,0,0,4
ORD00041,1/20/2026,15:31:00,Tuesday,Mumbai,V012,Dosa Point,Food Delivery,DRV026,3.62,Clear,0,805.23,29.4,0,0,5
ORD00042,5/3/2026,19:29:00,Sunday,Hyderabad,V009,Sushi Central,Grocery,DRV041,2.76,Clear,1,551.93,25.6,0,0,4
ORD00043,4/20/2026,13:06:00,Monday,Delhi,V006,Tandoori Nights,Food Delivery,DRV055,3.93,Clear,1,1198.16,,0,1,
ORD00044,6/26/2026,12:23:00,Friday,Delhi,V005,Green Leaf Cafe,Grocery,DRV008,1.66,Clear,1,730.07,26.3,0,0,3
ORD00045,1/21/2026,16:17:00,Wednesday,Mumbai,V012,Dosa Point,Food Delivery,DRV010,4.04,Clear,0,822.21,38.9,0,0,4
ORD00046,5/26/2026,13:40:00,Tuesday,Bengaluru,V008,Pizza Junction,Food Delivery,DRV060,3.76,Clear,1,1355.23,43.3,0,0,5
ORD00047,6/16/2026,18:02:00,Tuesday,Chennai,V003,Bowl & Broth,Food Delivery,DRV019,2.79,Rain,0,971.45,29.8,0,0,5
ORD00048,3/12/2026,20:25:00,Thursday,Bengaluru,V010,Bun Intended Burgers,Food Delivery,DRV033,1.52,Clear,1,621.1,13.8,0,0,4
ORD00049,3/2/2026,12:46:00,Monday,Chennai,V003,Bowl & Broth,Food Delivery,DRV037,6.42,Clear,1,1116.57,41.4,0,0,4
ORD00050,5/18/2026,21:20:00,Monday,Chennai,V002,Urban Tadka,Food Delivery,DRV031,5.93,Clear,1,886.01,45.8,1,0,5
ORD00051,3/3/2026,13:24:00,Tuesday,Bengaluru,V010,Bun Intended Burgers,Food Delivery,DRV044,6.9,Clear,1,843.37,55.4,1,0,4
ORD00052,4/28/2026,19:22:00,Tuesday,Bengaluru,V008,Pizza Junction,Food Delivery,DRV051,1.59,Rain,1,876.83,21.6,0,0,5
ORD00053,4/19/2026,12:24:00,Sunday,Delhi,V005,Green Leaf Cafe,Food Delivery,DRV059,1.88,Rain,1,699.12,24.1,0,0,3
ORD00054,1/30/2026,9:18:00,Friday,Mumbai,V007,Wok This Way,Food Delivery,DRV041,1.47,Clear,0,310.29,32,0,0,4
ORD00055,3/18/2026,19:20:00,Wednesday,Mumbai,V007,Wok This Way,Food Delivery,DRV051,2.73,Clear,1,700.21,34,0,0,3
ORD00056,3/31/2026,19:06:00,Tuesday,Chennai,V002,Urban Tadka,Food Delivery,DRV033,1.67,Clear,1,152.49,,0,1,
ORD00057,2/15/2026,13:29:00,Sunday,Mumbai,V007,Wok This Way,Grocery,DRV035,5.88,Clear,1,431.26,55.8,1,0,3
ORD00058,6/23/2026,22:08:00,Tuesday,Hyderabad,V011,Roti Roll Co.,Food Delivery,DRV048,0.53,Clear,0,352.24,15.4,0,0,4
ORD00059,3/2/2026,20:21:00,Monday,Bengaluru,V004,Curry Express,Grocery,DRV035,2.28,Rain,1,1334.02,34.6,0,0,4
ORD00060,4/12/2026,22:27:00,Sunday,Bengaluru,V010,Bun Intended Burgers,Grocery,DRV009,2.49,Clear,0,298.38,20,0,0,5
ORD00061,5/3/2026,20:31:00,Sunday,Mumbai,V007,Wok This Way,Food Delivery,DRV053,3.34,Clear,1,134.07,35.9,0,0,3
ORD00062,5/12/2026,13:37:00,Tuesday,Delhi,V006,Tandoori Nights,Food Delivery,DRV053,2.22,Rain,1,892.03,26.7,0,0,3
ORD00063,3/20/2026,22:42:00,Friday,Bengaluru,V008,Pizza Junction,Food Delivery,DRV058,3.79,Heavy Traffic Event,0,159.91,37.9,0,0,4
ORD00064,3/2/2026,19:06:00,Monday,Hyderabad,V011,Roti Roll Co.,Food Delivery,DRV003,2.85,Clear,1,219.54,31.7,0,0,3
ORD00065,4/17/2026,14:05:00,Friday,Delhi,V006,Tandoori Nights,Grocery,DRV021,2.47,Clear,0,1091.57,31.8,0,0,4
ORD00066,2/9/2026,22:55:00,Monday,Mumbai,V012,Dosa Point,Food Delivery,DRV009,2.64,Clear,0,366.53,28.7,0,0,5
ORD00067,5/15/2026,10:26:00,Friday,Chennai,V002,Urban Tadka,Food Delivery,DRV003,9.44,Clear,0,1011.25,55.4,1,0,4
ORD00068,4/7/2026,17:43:00,Tuesday,Chennai,V001,Spice Route Kitchen,Food Delivery,DRV059,2.88,Clear,0,1239.62,39.9,0,0,4
ORD00069,1/13/2026,8:03:00,Tuesday,Chennai,V003,Bowl & Broth,Food Delivery,DRV020,11.4,Clear,0,1064.11,52.4,1,0,4
ORD00070,5/9/2026,16:16:00,Saturday,Bengaluru,V004,Curry Express,Food Delivery,DRV037,1.36,Clear,0,1126.52,22.9,0,0,4
ORD00071,6/9/2026,16:53:00,Tuesday,Bengaluru,V008,Pizza Junction,Food Delivery,DRV043,2.34,Clear,0,345.96,22.3,0,0,5
ORD00072,4/24/2026,13:30:00,Friday,Delhi,V005,Green Leaf Cafe,Food Delivery,DRV003,1.59,Clear,1,1164.27,34.5,0,0,3
ORD00073,4/17/2026,16:05:00,Friday,Hyderabad,V009,Sushi Central,Pharmacy,DRV009,1.98,Rain,0,541.19,32.9,0,0,4
ORD00074,2/16/2026,18:29:00,Monday,Delhi,V006,Tandoori Nights,Grocery,DRV032,4.96,Clear,0,780.58,40.1,0,0,3
ORD00075,5/3/2026,16:15:00,Sunday,Bengaluru,V008,Pizza Junction,Pharmacy,DRV043,3.1,Rain,0,425.52,36.7,0,0,5
ORD00076,6/8/2026,21:01:00,Monday,Delhi,V005,Green Leaf Cafe,Food Delivery,DRV014,1.58,Clear,1,1088.49,27,0,0,3
ORD00077,6/26/2026,17:15:00,Friday,Hyderabad,V011,Roti Roll Co.,Food Delivery,DRV032,4.05,Clear,0,1195.36,38,0,0,3
ORD00078,5/4/2026,11:17:00,Monday,Bengaluru,V004,Curry Express,Food Delivery,DRV050,1.48,Clear,0,1387.39,12.2,0,0,5
ORD00079,1/24/2026,18:01:00,Saturday,Hyderabad,V011,Roti Roll Co.,Grocery,DRV017,6.9,Clear,0,250.81,52.3,1,0,3
ORD00080,5/20/2026,13:07:00,Wednesday,Chennai,V002,Urban Tadka,Food Delivery,DRV034,2.82,Heavy Traffic Event,1,392.77,28.9,0,0,5
ORD00081,4/12/2026,15:32:00,Sunday,Mumbai,V012,Dosa Point,Food Delivery,DRV007,1.89,Clear,0,921.56,21.8,0,0,5
ORD00082,1/23/2026,17:25:00,Friday,Mumbai,V007,Wok This Way,Food Delivery,DRV011,3.67,Clear,0,1379.97,34.3,0,0,3
ORD00083,3/28/2026,16:17:00,Saturday,Chennai,V002,Urban Tadka,Food Delivery,DRV017,4.42,Clear,0,251.57,31.1,0,0,5
ORD00084,4/11/2026,8:19:00,Saturday,Chennai,V001,Spice Route Kitchen,Food Delivery,DRV002,1.95,Clear,0,1371.16,24.2,0,0,4
ORD00085,1/8/2026,17:56:00,Thursday,Chennai,V002,Urban Tadka,Food Delivery,DRV028,7.41,Clear,0,1146.21,59.3,1,0,4
ORD00086,3/28/2026,10:09:00,Saturday,Bengaluru,V010,Bun Intended Burgers,Food Delivery,DRV019,4.88,Clear,0,1369.11,41.2,0,0,5
ORD00087,3/20/2026,10:09:00,Friday,Mumbai,V007,Wok This Way,Food Delivery,DRV054,3.71,Clear,0,159.24,25.6,0,0,4
ORD00088,3/18/2026,14:21:00,Wednesday,Bengaluru,V008,Pizza Junction,Grocery,DRV036,2.41,Clear,0,1237.98,26.6,0,0,5
ORD00089,6/28/2026,14:21:00,Sunday,Bengaluru,V010,Bun Intended Burgers,Food Delivery,DRV030,1.53,Clear,0,349.99,13.7,0,0,5
ORD00090,3/14/2026,16:34:00,Saturday,Mumbai,V012,Dosa Point,Grocery,DRV005,5.56,Clear,0,536.24,40.5,0,0,5
ORD00091,3/23/2026,13:04:00,Monday,Mumbai,V007,Wok This Way,Food Delivery,DRV043,2.76,Rain,1,1334.19,30.2,0,0,3
ORD00092,4/7/2026,19:41:00,Tuesday,Delhi,V005,Green Leaf Cafe,Pharmacy,DRV009,0.66,Rain,1,799.9,30.6,0,0,4
ORD00093,2/10/2026,13:05:00,Tuesday,Mumbai,V007,Wok This Way,Pharmacy,DRV034,3,Clear,1,533.61,31.1,0,0,3
ORD00094,5/1/2026,12:01:00,Friday,Mumbai,V007,Wok This Way,Food Delivery,DRV008,3.7,Clear,1,319.89,41.1,0,0,3
ORD00095,4/30/2026,22:22:00,Thursday,Chennai,V002,Urban Tadka,Food Delivery,DRV001,2.98,Clear,0,396.06,31.4,0,0,5
ORD00096,1/29/2026,16:18:00,Thursday,Mumbai,V012,Dosa Point,Food Delivery,DRV034,0.98,Heavy Traffic Event,0,637.3,18,0,0,5
ORD00097,6/12/2026,21:18:00,Friday,Delhi,V006,Tandoori Nights,Food Delivery,DRV058,2.05,Clear,1,627.1,29.7,0,0,3
ORD00098,3/21/2026,8:34:00,Saturday,Chennai,V001,Spice Route Kitchen,Food Delivery,DRV002,0.28,Clear,0,733.35,25.2,0,0,5
ORD00099,1/27/2026,15:14:00,Tuesday,Mumbai,V012,Dosa Point,Food Delivery,DRV021,0.18,Clear,0,370.6,12.9,0,0,5
ORD00100,3/10/2026,13:28:00,Tuesday,Hyderabad,V011,Roti Roll Co.,Food Delivery,DRV028,3.19,Clear,1,810.13,36.1,0,0,4
ORD00101,3/13/2026,22:48:00,Friday,Chennai,V002,Urban Tadka,Food Delivery,DRV049,1.07,Rain,0,846.16,16.5,0,0,5
ORD00102,3/9/2026,15:06:00,Monday,Chennai,V001,Spice Route Kitchen,Grocery,DRV024,3.82,Clear,0,646.12,45.2,1,0,4
ORD00103,2/12/2026,19:16:00,Thursday,Chennai,V001,Spice Route Kitchen,Food Delivery,DRV050,2.09,Clear,1,315.82,33.1,0,0,4
ORD00104,1/5/2026,17:35:00,Monday,Delhi,V006,Tandoori Nights,Food Delivery,DRV035,5.31,Clear,0,884.22,54.2,1,0,2
ORD00105,5/11/2026,8:20:00,Monday,Mumbai,V007,Wok This Way,Food Delivery,DRV037,3.43,Rain,0,1264.56,41,0,0,3
ORD00106,3/21/2026,20:39:00,Saturday,Bengaluru,V004,Curry Express,Food Delivery,DRV058,1.48,Clear,1,546.24,21.8,0,0,4
ORD00107,3/7/2026,22:26:00,Saturday,Chennai,V002,Urban Tadka,Food Delivery,DRV055,4.65,Heavy Traffic Event,0,805.86,40.5,0,0,5
ORD00108,6/26/2026,15:22:00,Friday,Mumbai,V012,Dosa Point,Grocery,DRV022,2.07,Heavy Traffic Event,0,234.08,26.7,0,0,5
ORD00109,5/21/2026,18:02:00,Thursday,Mumbai,V012,Dosa Point,Food Delivery,DRV011,1.05,Clear,0,1176.37,17.3,0,0,5
ORD00110,6/3/2026,13:54:00,Wednesday,Mumbai,V012,Dosa Point,Grocery,DRV016,1.72,Rain,1,391.34,33.6,0,0,5
ORD00111,2/1/2026,17:20:00,Sunday,Chennai,V003,Bowl & Broth,Grocery,DRV014,2.71,Clear,0,298.17,30.2,0,0,5
ORD00112,1/27/2026,14:04:00,Tuesday,Delhi,V006,Tandoori Nights,Grocery,DRV013,4.83,Clear,0,1318.65,41.7,0,0,4
ORD00113,1/1/2026,8:35:00,Thursday,Delhi,V006,Tandoori Nights,Food Delivery,DRV050,0.82,Clear,0,193.96,13.8,0,0,4
ORD00114,4/22/2026,17:13:00,Wednesday,Mumbai,V012,Dosa Point,Food Delivery,DRV037,2.08,Clear,0,1254.85,28.4,0,0,5
ORD00115,4/5/2026,15:10:00,Sunday,Mumbai,V007,Wok This Way,Food Delivery,DRV021,3.5,Clear,0,1093.17,,0,1,
ORD00116,4/24/2026,13:03:00,Friday,Chennai,V002,Urban Tadka,Food Delivery,DRV053,2.98,Clear,1,744.95,29.2,0,0,5
ORD00117,4/28/2026,20:36:00,Tuesday,Mumbai,V012,Dosa Point,Food Delivery,DRV041,2.07,Clear,1,1000.81,28.6,0,0,5
ORD00118,5/21/2026,20:29:00,Thursday,Mumbai,V012,Dosa Point,Food Delivery,DRV005,1.79,Clear,1,1063.92,29.1,0,0,5
ORD00119,1/16/2026,18:04:00,Friday,Bengaluru,V008,Pizza Junction,Food Delivery,DRV043,0.79,Rain,0,647.53,13.7,0,0,5
ORD00120,2/23/2026,19:36:00,Monday,Chennai,V001,Spice Route Kitchen,Grocery,DRV058,2.35,Clear,1,732.17,33.4,0,0,4
ORD00121,2/22/2026,22:35:00,Sunday,Bengaluru,V004,Curry Express,Food Delivery,DRV040,6.76,Clear,0,886.12,42,0,0,4
ORD00122,6/19/2026,13:07:00,Friday,Chennai,V002,Urban Tadka,Food Delivery,DRV049,0.29,Rain,1,450.79,13.2,0,0,5
ORD00123,6/26/2026,18:32:00,Friday,Delhi,V005,Green Leaf Cafe,Grocery,DRV021,5.41,Clear,0,1049.25,37,0,0,4
ORD00124,4/8/2026,16:29:00,Wednesday,Delhi,V006,Tandoori Nights,Food Delivery,DRV047,0.67,Clear,0,325.89,22.5,0,0,4
ORD00125,5/11/2026,22:05:00,Monday,Mumbai,V012,Dosa Point,Food Delivery,DRV027,5.93,Clear,0,1000.49,46,1,0,5
ORD00126,1/7/2026,18:11:00,Wednesday,Bengaluru,V010,Bun Intended Burgers,Food Delivery,DRV004,0.71,Clear,0,613.28,24.1,0,0,5
ORD00127,3/16/2026,17:00:00,Monday,Delhi,V006,Tandoori Nights,Food Delivery,DRV016,4.12,Clear,0,408.56,32.5,0,0,5
ORD00128,5/2/2026,20:15:00,Saturday,Bengaluru,V008,Pizza Junction,Grocery,DRV038,2.6,Clear,1,388.6,33.4,0,0,4
ORD00129,3/20/2026,11:13:00,Friday,Chennai,V001,Spice Route Kitchen,Pharmacy,DRV027,3.39,Clear,0,997.97,32.8,0,0,5
ORD00130,4/13/2026,16:10:00,Monday,Mumbai,V007,Wok This Way,Grocery,DRV017,0.74,Clear,0,1309.91,13.9,0,0,3
ORD00131,5/25/2026,15:28:00,Monday,Bengaluru,V004,Curry Express,Food Delivery,DRV006,0.83,Clear,0,193.32,17.1,0,0,5
ORD00132,5/16/2026,17:56:00,Saturday,Hyderabad,V009,Sushi Central,Grocery,DRV054,1.16,Rain,0,668.98,17.9,0,0,4
ORD00133,1/12/2026,22:08:00,Monday,Hyderabad,V011,Roti Roll Co.,Grocery,DRV020,1.79,Clear,0,283.82,22.2,0,0,3
ORD00134,3/17/2026,13:43:00,Tuesday,Bengaluru,V010,Bun Intended Burgers,Food Delivery,DRV057,1.01,Clear,1,354.26,20.5,0,0,5
ORD00135,4/12/2026,15:06:00,Sunday,Delhi,V006,Tandoori Nights,Food Delivery,DRV006,7.13,Clear,0,1204.06,48.8,1,0,3
ORD00136,6/2/2026,17:27:00,Tuesday,Delhi,V006,Tandoori Nights,Grocery,DRV010,7.67,Clear,0,1371.92,51.3,1,0,2
ORD00137,3/1/2026,18:30:00,Sunday,Bengaluru,V010,Bun Intended Burgers,Food Delivery,DRV002,2.54,Rain,0,203.46,30.7,0,0,4
ORD00138,3/12/2026,19:21:00,Thursday,Chennai,V001,Spice Route Kitchen,Grocery,DRV008,0.26,Clear,1,487.54,15,0,0,5
ORD00139,4/4/2026,15:32:00,Saturday,Bengaluru,V008,Pizza Junction,Food Delivery,DRV028,5.27,Clear,0,378.58,38.5,0,0,5
ORD00140,5/28/2026,14:47:00,Thursday,Mumbai,V012,Dosa Point,Food Delivery,DRV030,3.32,Heavy Traffic Event,0,932.38,36.1,0,0,5
ORD00141,5/4/2026,11:01:00,Monday,Hyderabad,V011,Roti Roll Co.,Food Delivery,DRV038,4.99,Clear,0,812.22,32.6,0,0,3
ORD00142,6/12/2026,17:18:00,Friday,Hyderabad,V011,Roti Roll Co.,Food Delivery,DRV026,4.29,Clear,0,248.82,26.1,0,0,3
ORD00143,4/21/2026,15:34:00,Tuesday,Bengaluru,V010,Bun Intended Burgers,Food Delivery,DRV034,1.22,Rain,0,536.13,17.7,0,0,5
ORD00144,1/31/2026,17:58:00,Saturday,Mumbai,V007,Wok This Way,Pharmacy,DRV053,4.65,Clear,0,956.05,35.4,0,0,3
ORD00145,4/28/2026,21:00:00,Tuesday,Chennai,V002,Urban Tadka,Food Delivery,DRV019,3.67,Clear,1,1370.3,25.2,0,0,5
ORD00146,3/17/2026,9:57:00,Tuesday,Hyderabad,V009,Sushi Central,Grocery,DRV045,3.43,Rain,0,1352.4,36,0,0,5
ORD00147,1/21/2026,17:31:00,Wednesday,Bengaluru,V004,Curry Express,Grocery,DRV035,1.73,Clear,0,409.73,20.1,0,0,4
ORD00148,6/12/2026,21:39:00,Friday,Hyderabad,V011,Roti Roll Co.,Food Delivery,DRV030,4.75,Clear,1,669.35,37.5,0,0,3
ORD00149,2/9/2026,15:43:00,Monday,Bengaluru,V004,Curry Express,Grocery,DRV015,6.29,Clear,0,890.46,45.7,1,0,4
ORD00150,6/20/2026,15:46:00,Saturday,Bengaluru,V008,Pizza Junction,Food Delivery,DRV044,6.32,Clear,0,1336.68,57.8,1,0,4
ORD00151,6/10/2026,8:02:00,Wednesday,Delhi,V006,Tandoori Nights,Food Delivery,DRV035,7.38,Rain,0,371.01,57.9,1,0,2
ORD00152,4/17/2026,16:50:00,Friday,Bengaluru,V008,Pizza Junction,Food Delivery,DRV054,1.79,Clear,0,1312.64,22.6,0,0,5
ORD00153,6/8/2026,16:01:00,Monday,Chennai,V003,Bowl & Broth,Grocery,DRV019,1.42,Clear,0,646.11,18.9,0,0,5
ORD00154,5/2/2026,14:42:00,Saturday,Mumbai,V012,Dosa Point,Food Delivery,DRV033,4.49,Rain,0,703.98,42.8,0,0,5
ORD00155,3/14/2026,14:44:00,Saturday,Chennai,V001,Spice Route Kitchen,Food Delivery,DRV051,1.14,Clear,0,1289.01,25.7,0,0,4
ORD00156,4/25/2026,18:31:00,Saturday,Bengaluru,V004,Curry Express,Food Delivery,DRV037,3.83,Clear,0,277.44,30.3,0,0,5
ORD00157,3/11/2026,21:23:00,Wednesday,Mumbai,V012,Dosa Point,Grocery,DRV003,1.28,Clear,1,1217.68,20.9,0,0,5
ORD00158,6/10/2026,8:21:00,Wednesday,Bengaluru,V008,Pizza Junction,Food Delivery,DRV037,2.47,Clear,0,1259.32,23.4,0,0,5
ORD00159,3/15/2026,14:39:00,Sunday,Hyderabad,V011,Roti Roll Co.,Food Delivery,DRV056,6.3,Clear,0,1371.14,41.7,0,0,3
ORD00160,1/8/2026,9:22:00,Thursday,Bengaluru,V010,Bun Intended Burgers,Food Delivery,DRV037,2.15,Rain,0,726.73,33.7,0,0,4
ORD00161,6/23/2026,14:22:00,Tuesday,Hyderabad,V011,Roti Roll Co.,Food Delivery,DRV059,2.92,Clear,0,1193.34,27.6,0,0,3
ORD00162,2/1/2026,15:39:00,Sunday,Chennai,V003,Bowl & Broth,Food Delivery,DRV013,4.03,Clear,0,921.58,47,1,0,4
ORD00163,3/25/2026,18:08:00,Wednesday,Bengaluru,V010,Bun Intended Burgers,Grocery,DRV054,4.74,Clear,0,287.24,38.5,0,0,5
ORD00164,5/3/2026,15:02:00,Sunday,Chennai,V001,Spice Route Kitchen,Grocery,DRV011,1.23,Clear,0,380.13,23.2,0,0,4
ORD00165,5/11/2026,21:26:00,Monday,Chennai,V002,Urban Tadka,Food Delivery,DRV008,0.18,Clear,1,1213.07,28.8,0,0,5
ORD00166,1/12/2026,21:26:00,Monday,Bengaluru,V008,Pizza Junction,Grocery,DRV021,3,Clear,1,579.16,33.8,0,0,5
ORD00167,4/6/2026,19:58:00,Monday,Bengaluru,V008,Pizza Junction,Grocery,DRV060,2.38,Clear,1,962.93,28.7,0,0,5
ORD00168,5/11/2026,14:40:00,Monday,Hyderabad,V009,Sushi Central,Food Delivery,DRV045,5.24,Clear,0,1342.55,46.2,1,0,4
ORD00169,1/21/2026,20:14:00,Wednesday,Bengaluru,V008,Pizza Junction,Pharmacy,DRV003,0.96,Clear,1,1148.46,20.9,0,0,5
ORD00170,6/1/2026,16:12:00,Monday,Delhi,V005,Green Leaf Cafe,Food Delivery,DRV032,2.26,Clear,0,695.17,28.4,0,0,4
ORD00171,4/25/2026,15:27:00,Saturday,Bengaluru,V004,Curry Express,Food Delivery,DRV008,1.4,Clear,0,467.4,19.1,0,0,4
ORD00172,2/18/2026,15:06:00,Wednesday,Hyderabad,V011,Roti Roll Co.,Food Delivery,DRV008,1.91,Rain,0,124.89,26.7,0,0,4
ORD00173,1/19/2026,14:15:00,Monday,Mumbai,V012,Dosa Point,Food Delivery,DRV048,1.8,Rain,0,1318.49,31.7,0,0,5
ORD00174,1/1/2026,12:42:00,Thursday,Mumbai,V007,Wok This Way,Food Delivery,DRV012,2.83,Heavy Traffic Event,1,1399.32,35.9,0,0,3
ORD00175,4/1/2026,15:27:00,Wednesday,Mumbai,V007,Wok This Way,Food Delivery,DRV013,1.7,Clear,0,652.22,19.6,0,0,4
ORD00176,2/8/2026,17:35:00,Sunday,Delhi,V006,Tandoori Nights,Food Delivery,DRV021,2.04,Clear,0,993.21,28.9,0,0,4
ORD00177,2/21/2026,14:03:00,Saturday,Delhi,V005,Green Leaf Cafe,Food Delivery,DRV024,2.69,Rain,0,1192.98,22.8,0,0,3
ORD00178,1/2/2026,15:56:00,Friday,Bengaluru,V004,Curry Express,Food Delivery,DRV058,5.63,Clear,0,1217.13,45.6,1,0,4
